name,iteration,durationMs
drop-database,1,2695
create-database,1,333
drop-table-call_center,1,170
create-table-call_center,1,32325
drop-table-catalog_page,1,29
create-table-catalog_page,1,8772
drop-table-catalog_returns,1,23
create-table-catalog_returns,1,87534
drop-table-catalog_sales,1,24
create-table-catalog_sales,1,666110
drop-table-customer,1,22
create-table-customer,1,32325
drop-table-customer_address,1,22
create-table-customer_address,1,62530
drop-table-customer_demographics,1,24
create-table-customer_demographics,1,9913
drop-table-date_dim,1,18
create-table-date_dim,1,5500
drop-table-household_demographics,1,18
create-table-household_demographics,1,5227
drop-table-income_band,1,20
create-table-income_band,1,4252
drop-table-inventory,1,21
create-table-inventory,1,23373
drop-table-item,1,19
create-table-item,1,9924
drop-table-promotion,1,18
create-table-promotion,1,4096
drop-table-reason,1,18
create-table-reason,1,5080
drop-table-ship_mode,1,21
create-table-ship_mode,1,3823
drop-table-store,1,18
create-table-store,1,4577
drop-table-store_returns,1,18
create-table-store_returns,1,89915
drop-table-store_sales,1,17
create-table-store_sales,1,804692
drop-table-time_dim,1,18
create-table-time_dim,1,5102
drop-table-warehouse,1,16
create-table-warehouse,1,4240
drop-table-web_page,1,17
create-table-web_page,1,4346
drop-table-web_returns,1,15
create-table-web_returns,1,41848
drop-table-web_sales,1,17
create-table-web_sales,1,332581
drop-table-web_site,1,16
create-table-web_site,1,4562
,1,47
,1,103
