name,iteration,durationMs
q1,1,57097
q10,1,30490
q11,1,96792
q12,1,10377
q13,1,19408
q14a,1,109502
q14b,1,93637
q15,1,11913
q16,1,79739
q17,1,16888
q18,1,22997
q19,1,8008
q2,1,30305
q20,1,5086
q21,1,6905
q22,1,12526
q23a,1,337855
q23b,1,335784
q24a,1,83494
q24b,1,78777
q25,1,15253
q26,1,14167
q27,1,13347
q28,1,163966
q29,1,36747
q3,1,4971
q30,1,19767
q31,1,21749
q32,1,3314
q33,1,8332
q34,1,2010
q35,1,25941
q36,1,11966
q37,1,12914
q38,1,52420
q39a,1,10932
q39b,1,9922
q4,1,191000
q40,1,11063
q41,1,2568
q42,1,2905
q43,1,7476
q44,1,50992
q45,1,10028
q46,1,2155
q47,1,21400
q48,1,15705
q49,1,16088
q5,1,32979
q50,1,99544
q51,1,29994
q52,1,2993
q53,1,8166
q54,1,11876
q55,1,2542
q56,1,6042
q57,1,15686
q58,1,6612
q59,1,32386
q6,1,10765
q60,1,9212
q61,1,8533
q62,1,12753
q63,1,6593
q64,1,69450
q65,1,62616
q66,1,16163
q67,1,296843
q68,1,2998
q69,1,12958
q7,1,13371
q70,1,18173
q71,1,8552
q72,1,48642
q73,1,2139
q74,1,76425
q75,1,73210
q76,1,47977
q77,1,8932
q78,1,197627
q79,1,15062
q8,1,11398
q80,1,34884
q81,1,20678
q82,1,14724
q83,1,5904
q84,1,9953
q85,1,15748
q86,1,7535
q87,1,55029
q88,1,99454
q89,1,7687
q9,1,34002
q90,1,11185
q91,1,8490
q92,1,2717
q93,1,113340
q94,1,38237
q95,1,60766
q96,1,13826
q97,1,73090
q98,1,6399
q99,1,21247
q1,2,10539
q10,2,12205
q11,2,87105
q12,2,3870
q13,2,17860
q14a,2,99256
q14b,2,88314
q15,2,11685
q16,2,74495
q17,2,14904
q18,2,22755
q19,2,7920
q2,2,28140
q20,2,4462
q21,2,3600
q22,2,11492
q23a,2,336202
q23b,2,336507
q24a,2,85128
q24b,2,77626
q25,2,14851
q26,2,10533
q27,2,12314
q28,2,158737
q29,2,35927
q3,2,4269
q30,2,15996
q31,2,23748
q32,2,3706
q33,2,9248
q34,2,2240
q35,2,26857
q36,2,12456
q37,2,11064
q38,2,53372
q39a,2,10047
q39b,2,9152
q4,2,188686
q40,2,11005
q41,2,2752
q42,2,2843
q43,2,8353
q44,2,52947
q45,2,11050
q46,2,2238
q47,2,20859
q48,2,16675
q49,2,15645
q5,2,31074
q50,2,98931
q51,2,29437
q52,2,3003
q53,2,6469
q54,2,11734
q55,2,2578
q56,2,6270
q57,2,15480
q58,2,6435
q59,2,31658
q6,2,10399
q60,2,7828
q61,2,7915
q62,2,10405
q63,2,7409
q64,2,68786
q65,2,62907
q66,2,14646
q67,2,296815
q68,2,2445
q69,2,13742
q7,2,13319
q70,2,18903
q71,2,7373
q72,2,48890
q73,2,2146
q74,2,76914
q75,2,72431
q76,2,46544
q77,2,6621
q78,2,198488
q79,2,14971
q8,2,11358
q80,2,33997
q81,2,21180
q82,2,14367
q83,2,5200
q84,2,9674
q85,2,14545
q86,2,6611
q87,2,55510
q88,2,97497
q89,2,7938
q9,2,34438
q90,2,10390
q91,2,9227
q92,2,3143
q93,2,111823
q94,2,38935
q95,2,59740
q96,2,13869
q97,2,72735
q98,2,7153
q99,2,20856
q1,3,10055
q10,3,11580
q11,3,89198
q12,3,3926
q13,3,16580
q14a,3,99808
q14b,3,87731
q15,3,10996
q16,3,73761
q17,3,16156
q18,3,24189
q19,3,7823
q2,3,28463
q20,3,4357
q21,3,3782
q22,3,11656
q23a,3,335404
q23b,3,335596
q24a,3,82289
q24b,3,75578
q25,3,15053
q26,3,30924
q27,3,12402
q28,3,161332
q29,3,35617
q3,3,4352
q30,3,17205
q31,3,23879
q32,3,3741
q33,3,8661
q34,3,2240
q35,3,28073
q36,3,11804
q37,3,13112
q38,3,52783
q39a,3,9683
q39b,3,8772
q4,3,189708
q40,3,10780
q41,3,2480
q42,3,2845
q43,3,7374
q44,3,49654
q45,3,10611
q46,3,2907
q47,3,21317
q48,3,16611
q49,3,15719
q5,3,31121
q50,3,100005
q51,3,29852
q52,3,3014
q53,3,6428
q54,3,12228
q55,3,2475
q56,3,5600
q57,3,15945
q58,3,6196
q59,3,33298
q6,3,11051
q60,3,9078
q61,3,8140
q62,3,10563
q63,3,6993
q64,3,68638
q65,3,62644
q66,3,14203
q67,3,296761
q68,3,2851
q69,3,10661
q7,3,13781
q70,3,23365
q71,3,7363
q72,3,48114
q73,3,2221
q74,3,77748
q75,3,71938
q76,3,46594
q77,3,6975
q78,3,198536
q79,3,14669
q8,3,11157
q80,3,34622
q81,3,20967
q82,3,14407
q83,3,5175
q84,3,9714
q85,3,14211
q86,3,6233
q87,3,55252
q88,3,98402
q89,3,7550
q9,3,33670
q90,3,10441
q91,3,8389
q92,3,2514
q93,3,114519
q94,3,41098
q95,3,60101
q96,3,13813
q97,3,72915
q98,3,6594
q99,3,21601
