name,iteration,durationMs
drop-database,1,2643
create-database,1,266
drop-table-call_center,1,122
create-table-call_center,1,61276
drop-table-catalog_page,1,39
create-table-catalog_page,1,35160
drop-table-catalog_returns,1,25
create-table-catalog_returns,1,598635
drop-table-catalog_sales,1,19
create-table-catalog_sales,1,5909437
drop-table-customer,1,20
create-table-customer,1,96282
drop-table-customer_address,1,17
create-table-customer_address,1,193311
drop-table-customer_demographics,1,17
create-table-customer_demographics,1,60564
drop-table-date_dim,1,21
create-table-date_dim,1,25976
drop-table-household_demographics,1,21
create-table-household_demographics,1,21007
drop-table-income_band,1,18
create-table-income_band,1,22700
drop-table-inventory,1,14
create-table-inventory,1,1029733
drop-table-item,1,17
create-table-item,1,40654
drop-table-promotion,1,15
create-table-promotion,1,21879
drop-table-reason,1,15
create-table-reason,1,21641
drop-table-ship_mode,1,14
create-table-ship_mode,1,23440
drop-table-store,1,16
create-table-store,1,24886
drop-table-store_returns,1,14
create-table-store_returns,1,946615
drop-table-store_sales,1,17
create-table-store_sales,1,9296684
drop-table-time_dim,1,16
create-table-time_dim,1,29792
drop-table-warehouse,1,19
create-table-warehouse,1,24348
drop-table-web_page,1,20
create-table-web_page,1,21837
drop-table-web_returns,1,14
create-table-web_returns,1,322226
drop-table-web_sales,1,15
create-table-web_sales,1,3061810
drop-table-web_site,1,19
create-table-web_site,1,24650
,1,21
,1,116
