name,iteration,durationMs
q1,1,50905
q10,1,47892
q11,1,124022
q12,1,5080
q13,1,22933
q14a,1,138435
q14b,1,122519
q15,1,10307
q16,1,112521
q17,1,17215
q18,1,27484
q19,1,6413
q2,1,41307
q20,1,3793
q21,1,5426
q22,1,12568
q23a,1,531775
q23b,1,526863
q24a,1,134657
q24b,1,120256
q25,1,13686
q26,1,14152
q27,1,17248
q28,1,368311
q29,1,43038
q3,1,6850
q30,1,17666
q31,1,25438
q32,1,3271
q33,1,7290
q34,1,1369
q35,1,31230
q36,1,15990
q37,1,23042
q38,1,65480
q39a,1,5063
q39b,1,5726
q4,1,232048
q40,1,11127
q41,1,1132
q42,1,2805
q43,1,11131
q44,1,118186
q45,1,8825
q46,1,597
q47,1,30133
q48,1,18898
q49,1,20563
q5,1,40555
q50,1,130725
q51,1,47647
q52,1,2901
q53,1,10573
q54,1,12068
q55,1,2353
q56,1,4889
q57,1,20099
q58,1,4425
q59,1,53266
q6,1,6969
q60,1,7308
q61,1,6679
q62,1,16099
q63,1,9604
q64,1,98163
q65,1,72250
q66,1,16583
q67,1,406674
q68,1,605
q69,1,11246
q7,1,17321
q70,1,24979
q71,1,6756
q72,1,53148
q73,1,560
q74,1,97341
q75,1,95505
q76,1,97858
q77,1,7177
q78,1,214250
q79,1,24823
q8,1,9293
q80,1,38561
q81,1,19011
q82,1,30463
q83,1,3850
q84,1,9665
q85,1,13633
q86,1,6799
q87,1,67184
q88,1,255134
q89,1,11492
q9,1,46904
q90,1,24562
q91,1,4660
q92,1,2422
q93,1,145591
q94,1,55783
q95,1,78410
q96,1,33480
q97,1,79528
q98,1,4353
q99,1,34726
q1,2,10065
q10,2,10473
q11,2,111463
q12,2,2570
q13,2,20659
q14a,2,127146
q14b,2,136172
q15,2,10463
q16,2,98746
q17,2,15855
q18,2,23516
q19,2,6008
q2,2,39204
q20,2,3548
q21,2,1892
q22,2,11831
q23a,2,518737
q23b,2,521031
q24a,2,122965
q24b,2,117444
q25,2,13482
q26,2,11498
q27,2,16562
q28,2,366277
q29,2,41254
q3,2,6710
q30,2,13034
q31,2,28561
q32,2,3361
q33,2,7755
q34,2,602
q35,2,31763
q36,2,15691
q37,2,21396
q38,2,65412
q39a,2,4811
q39b,2,4685
q4,2,234249
q40,2,11007
q41,2,1035
q42,2,2698
q43,2,10583
q44,2,119534
q45,2,9137
q46,2,551
q47,2,28909
q48,2,19207
q49,2,19828
q5,2,37082
q50,2,130290
q51,2,49996
q52,2,3145
q53,2,10131
q54,2,11284
q55,2,2336
q56,2,4601
q57,2,19792
q58,2,3949
q59,2,53152
q6,2,6639
q60,2,6733
q61,2,6606
q62,2,14894
q63,2,9553
q64,2,97459
q65,2,71052
q66,2,16265
q67,2,405495
q68,2,811
q69,2,11658
q7,2,17222
q70,2,27814
q71,2,6763
q72,2,52722
q73,2,1164
q74,2,98655
q75,2,94973
q76,2,94778
q77,2,5253
q78,2,211390
q79,2,24693
q8,2,8121
q80,2,38472
q81,2,17671
q82,2,28463
q83,2,3661
q84,2,12484
q85,2,12228
q86,2,8376
q87,2,66628
q88,2,254884
q89,2,11585
q9,2,46653
q90,2,22731
q91,2,4229
q92,2,1840
q93,2,144340
q94,2,56495
q95,2,78176
q96,2,32948
q97,2,79374
q98,2,4366
q99,2,32876
q1,3,9018
q10,3,11008
q11,3,111359
q12,3,2608
q13,3,22311
q14a,3,127593
q14b,3,119023
q15,3,10260
q16,3,99090
q17,3,15071
q18,3,25145
q19,3,7067
q2,3,42458
q20,3,4050
q21,3,2875
q22,3,14068
q23a,3,518768
q23b,3,523305
q24a,3,124796
q24b,3,117539
q25,3,13207
q26,3,11762
q27,3,16594
q28,3,371738
q29,3,40603
q3,3,6774
q30,3,12935
q31,3,27360
q32,3,2918
q33,3,7190
q34,3,1113
q35,3,30622
q36,3,15382
q37,3,19617
q38,3,65716
q39a,3,4559
q39b,3,3135
q4,3,231359
q40,3,10454
q41,3,1020
q42,3,4622
q43,3,10619
q44,3,116687
q45,3,8934
q46,3,539
q47,3,28458
q48,3,18558
q49,3,19170
q5,3,37219
q50,3,130286
q51,3,48364
q52,3,2869
q53,3,10340
q54,3,11660
q55,3,2239
q56,3,5744
q57,3,19936
q58,3,3868
q59,3,53158
q6,3,6463
q60,3,6866
q61,3,6383
q62,3,14115
q63,3,9488
q64,3,93701
q65,3,72047
q66,3,15666
q67,3,405075
q68,3,691
q69,3,11549
q7,3,16953
q70,3,24470
q71,3,6943
q72,3,51800
q73,3,1180
q74,3,97383
q75,3,94241
q76,3,92720
q77,3,6256
q78,3,211816
q79,3,24488
q8,3,7940
q80,3,37683
q81,3,17661
q82,3,28270
q83,3,4227
q84,3,9974
q85,3,12894
q86,3,6660
q87,3,67333
q88,3,258354
q89,3,11942
q9,3,47107
q90,3,23173
q91,3,4692
q92,3,2163
q93,3,144604
q94,3,54416
q95,3,78078
q96,3,32991
q97,3,78659
q98,3,4527
q99,3,32358
