name,iteration,durationMs
drop-database,1,2747
create-database,1,272
drop-table-call_center,1,388
create-table-call_center,1,18510
drop-table-catalog_page,1,84
create-table-catalog_page,1,6913
drop-table-catalog_returns,1,37
create-table-catalog_returns,1,102879
drop-table-catalog_sales,1,32
create-table-catalog_sales,1,809529
drop-table-customer,1,23
create-table-customer,1,30571
drop-table-customer_address,1,28
create-table-customer_address,1,48492
drop-table-customer_demographics,1,22
create-table-customer_demographics,1,7709
drop-table-date_dim,1,20
create-table-date_dim,1,4244
drop-table-household_demographics,1,21
create-table-household_demographics,1,3273
drop-table-income_band,1,20
create-table-income_band,1,2586
drop-table-inventory,1,19
create-table-inventory,1,25536
drop-table-item,1,22
create-table-item,1,11500
drop-table-promotion,1,21
create-table-promotion,1,3219
drop-table-reason,1,19
create-table-reason,1,2755
drop-table-ship_mode,1,21
create-table-ship_mode,1,2939
drop-table-store,1,20
create-table-store,1,2382
drop-table-store_returns,1,24
create-table-store_returns,1,131103
drop-table-store_sales,1,19
create-table-store_sales,1,988739
drop-table-time_dim,1,23
create-table-time_dim,1,4046
drop-table-warehouse,1,18
create-table-warehouse,1,2971
drop-table-web_page,1,20
create-table-web_page,1,3077
drop-table-web_returns,1,19
create-table-web_returns,1,49662
drop-table-web_sales,1,18
create-table-web_sales,1,389153
drop-table-web_site,1,17
create-table-web_site,1,3510
,1,21
,1,136
