name,iteration,durationMs
q1,1,41351
q10,1,43367
q11,1,109366
q12,1,7507
q13,1,36528
q14a,1,236111
q14b,1,216885
q15,1,14019
q16,1,403306
q17,1,22557
q18,1,34164
q19,1,10894
q2,1,45561
q20,1,5734
q21,1,16869
q22,1,36667
q23a,1,413696
q23b,1,409722
q24a,1,287746
q24b,1,282825
q25,1,17724
q26,1,18556
q27,1,28741
q28,1,361808
q29,1,47012
q3,1,10549
q30,1,23228
q31,1,25327
q32,1,5198
q33,1,8939
q34,1,1144
q35,1,98412
q36,1,36669
q37,1,54450
q38,1,59084
q39a,1,23642
q39b,1,27300
q4,1,226227
q40,1,19809
q41,1,1374
q42,1,4322
q43,1,13515
q44,1,100926
q45,1,13617
q46,1,1231
q47,1,57269
q48,1,29004
q49,1,36632
q5,1,44227
q50,1,138581
q51,1,39249
q52,1,4863
q53,1,14808
q54,1,14662
q55,1,4024
q56,1,7517
q57,1,34528
q58,1,7327
q59,1,55372
q6,1,12481
q60,1,11378
q61,1,10947
q62,1,20080
q63,1,14554
q64,1,342541
q65,1,82515
q66,1,24698
q67,1,364173
q68,1,2010
q69,1,31170
q7,1,31585
q70,1,30847
q71,1,10481
q72,1,150140
q73,1,1642
q74,1,90482
q75,1,143684
q76,1,108022
q77,1,13605
q78,1,230423
q79,1,22331
q8,1,13354
q80,1,60691
q81,1,25664
q82,1,86806
q83,1,9387
q84,1,13820
q85,1,23845
q86,1,13073
q87,1,61088
q88,1,358017
q89,1,19265
q9,1,471501
q90,1,31697
q91,1,10181
q92,1,4357
q93,1,190966
q94,1,198882
q95,1,117805
q96,1,49454
q97,1,85321
q98,1,8136
q99,1,37756
q1,2,18338
q10,2,35633
q11,2,103483
q12,2,5960
q13,2,34092
q14a,2,235593
q14b,2,210912
q15,2,14369
q16,2,401441
q17,2,19975
q18,2,34283
q19,2,10738
q2,2,45196
q20,2,5319
q21,2,15729
q22,2,36895
q23a,2,412555
q23b,2,410824
q24a,2,291510
q24b,2,285368
q25,2,17036
q26,2,18542
q27,2,28917
q28,2,356886
q29,2,46904
q3,2,11165
q30,2,34521
q31,2,28447
q32,2,5628
q33,2,9646
q34,2,1114
q35,2,100534
q36,2,37221
q37,2,54437
q38,2,60841
q39a,2,24664
q39b,2,26157
q4,2,226408
q40,2,19727
q41,2,1303
q42,2,5512
q43,2,13906
q44,2,101003
q45,2,15651
q46,2,1552
q47,2,56790
q48,2,28565
q49,2,40034
q5,2,43098
q50,2,137542
q51,2,39004
q52,2,4515
q53,2,14339
q54,2,13684
q55,2,3837
q56,2,8546
q57,2,34175
q58,2,7512
q59,2,55549
q6,2,11631
q60,2,10732
q61,2,10587
q62,2,19866
q63,2,14234
q64,2,344147
q65,2,80093
q66,2,24525
q67,2,370308
q68,2,2216
q69,2,37776
q7,2,30846
q70,2,31086
q71,2,10616
q72,2,151904
q73,2,1674
q74,2,90872
q75,2,145737
q76,2,108254
q77,2,14579
q78,2,234503
q79,2,21982
q8,2,11770
q80,2,62090
q81,2,25561
q82,2,87759
q83,2,10611
q84,2,13976
q85,2,25812
q86,2,13716
q87,2,61894
q88,2,358431
q89,2,19313
q9,2,476406
q90,2,31309
q91,2,9096
q92,2,4539
q93,2,192021
q94,2,200281
q95,2,116719
q96,2,49998
q97,2,85670
q98,2,8313
q99,2,36931
q1,3,19591
q10,3,39126
q11,3,104435
q12,3,5582
q13,3,34869
q14a,3,228541
q14b,3,218880
q15,3,13253
q16,3,401028
q17,3,23433
q18,3,33572
q19,3,11088
q2,3,44801
q20,3,5093
q21,3,15374
q22,3,39184
q23a,3,417122
q23b,3,415569
q24a,3,291746
q24b,3,286584
q25,3,18796
q26,3,18105
q27,3,28926
q28,3,359482
q29,3,54000
q3,3,10566
q30,3,23757
q31,3,27466
q32,3,5397
q33,3,9736
q34,3,1065
q35,3,101256
q36,3,37137
q37,3,57683
q38,3,60770
q39a,3,28085
q39b,3,25192
q4,3,228027
q40,3,19251
q41,3,1995
q42,3,5547
q43,3,13428
q44,3,100130
q45,3,12803
q46,3,1380
q47,3,57435
q48,3,28524
q49,3,34765
q5,3,43958
q50,3,137758
q51,3,39515
q52,3,4394
q53,3,14396
q54,3,13239
q55,3,4190
q56,3,7893
q57,3,34850
q58,3,7732
q59,3,55404
q6,3,12542
q60,3,12000
q61,3,10363
q62,3,20091
q63,3,14239
q64,3,342558
q65,3,81433
q66,3,24462
q67,3,365911
q68,3,2014
q69,3,31127
q7,3,30796
q70,3,31190
q71,3,10062
q72,3,150968
q73,3,1443
q74,3,89783
q75,3,143635
q76,3,107977
q77,3,10866
q78,3,234862
q79,3,21877
q8,3,13351
q80,3,61069
q81,3,25725
q82,3,88821
q83,3,9913
q84,3,13745
q85,3,23929
q86,3,13046
q87,3,61185
q88,3,363528
q89,3,28084
q9,3,480992
q90,3,31784
q91,3,9112
q92,3,4517
q93,3,192041
q94,3,198605
q95,3,116175
q96,3,48986
q97,3,85745
q98,3,7796
q99,3,36786
