name,iteration,durationMs
drop-database,1,2809
create-database,1,347
drop-table-call_center,1,141
create-table-call_center,1,30397
drop-table-catalog_page,1,33
create-table-catalog_page,1,15744
drop-table-catalog_returns,1,27
create-table-catalog_returns,1,169012
drop-table-catalog_sales,1,21
create-table-catalog_sales,1,1049372
drop-table-customer,1,18
create-table-customer,1,38152
drop-table-customer_address,1,21
create-table-customer_address,1,83914
drop-table-customer_demographics,1,18
create-table-customer_demographics,1,18464
drop-table-date_dim,1,19
create-table-date_dim,1,10430
drop-table-household_demographics,1,17
create-table-household_demographics,1,8556
drop-table-income_band,1,19
create-table-income_band,1,8089
drop-table-inventory,1,18
create-table-inventory,1,122875
drop-table-item,1,16
create-table-item,1,17188
drop-table-promotion,1,16
create-table-promotion,1,8978
drop-table-reason,1,20
create-table-reason,1,8097
drop-table-ship_mode,1,16
create-table-ship_mode,1,8271
drop-table-store,1,17
create-table-store,1,9625
drop-table-store_returns,1,17
create-table-store_returns,1,190801
drop-table-store_sales,1,16
create-table-store_sales,1,1332529
drop-table-time_dim,1,15
create-table-time_dim,1,9551
drop-table-warehouse,1,15
create-table-warehouse,1,8461
drop-table-web_page,1,18
create-table-web_page,1,8601
drop-table-web_returns,1,21
create-table-web_returns,1,100857
drop-table-web_sales,1,16
create-table-web_sales,1,549273
drop-table-web_site,1,15
create-table-web_site,1,8740
,1,19
,1,107
