name,iteration,durationMs
q1,1,36341
q10,1,34702
q11,1,98818
q12,1,4667
q13,1,27582
q14a,1,109432
q14b,1,93678
q15,1,9881
q16,1,80713
q17,1,14869
q18,1,23277
q19,1,4978
q2,1,29516
q20,1,4142
q21,1,4236
q22,1,10423
q23a,1,346264
q23b,1,342356
q24a,1,78632
q24b,1,70901
q25,1,13741
q26,1,11170
q27,1,12734
q28,1,175558
q29,1,35059
q3,1,4601
q30,1,23222
q31,1,20155
q32,1,2751
q33,1,6909
q34,1,583
q35,1,23420
q36,1,12049
q37,1,10750
q38,1,51111
q39a,1,8888
q39b,1,9344
q4,1,188615
q40,1,10494
q41,1,1373
q42,1,2348
q43,1,7644
q44,1,44025
q45,1,7121
q46,1,615
q47,1,21443
q48,1,13713
q49,1,14730
q5,1,29803
q50,1,96710
q51,1,31853
q52,1,2865
q53,1,6947
q54,1,9137
q55,1,1857
q56,1,3938
q57,1,15976
q58,1,5023
q59,1,33628
q6,1,6785
q60,1,5181
q61,1,4937
q62,1,11384
q63,1,6287
q64,1,65331
q65,1,63012
q66,1,15062
q67,1,300139
q68,1,731
q69,1,8598
q7,1,14777
q70,1,18044
q71,1,5915
q72,1,46122
q73,1,607
q74,1,76167
q75,1,75613
q76,1,54415
q77,1,4957
q78,1,203647
q79,1,12442
q8,1,8042
q80,1,33394
q81,1,20748
q82,1,15205
q83,1,3434
q84,1,8429
q85,1,12275
q86,1,5935
q87,1,53140
q88,1,94185
q89,1,19324
q9,1,36697
q90,1,13961
q91,1,4234
q92,1,1854
q93,1,115006
q94,1,42214
q95,1,64074
q96,1,13437
q97,1,74290
q98,1,6318
q99,1,23490
q1,2,9649
q10,2,8351
q11,2,85115
q12,2,2643
q13,2,16614
q14a,2,99509
q14b,2,91279
q15,2,8683
q16,2,74558
q17,2,13936
q18,2,23388
q19,2,4948
q2,2,28730
q20,2,3872
q21,2,2693
q22,2,10228
q23a,2,347879
q23b,2,345730
q24a,2,79589
q24b,2,73293
q25,2,11724
q26,2,10101
q27,2,12532
q28,2,173953
q29,2,34145
q3,2,4320
q30,2,14978
q31,2,21518
q32,2,2834
q33,2,6905
q34,2,495
q35,2,24689
q36,2,12016
q37,2,10387
q38,2,51160
q39a,2,10068
q39b,2,8344
q4,2,191046
q40,2,10444
q41,2,1427
q42,2,2014
q43,2,7820
q44,2,45042
q45,2,8772
q46,2,593
q47,2,21539
q48,2,13584
q49,2,14479
q5,2,29140
q50,2,96520
q51,2,31022
q52,2,2228
q53,2,9966
q54,2,8783
q55,2,1756
q56,2,3963
q57,2,15363
q58,2,4841
q59,2,34505
q6,2,7326
q60,2,5573
q61,2,4535
q62,2,10829
q63,2,6465
q64,2,64586
q65,2,62798
q66,2,14733
q67,2,301979
q68,2,624
q69,2,9348
q7,2,14283
q70,2,18169
q71,2,5473
q72,2,47249
q73,2,569
q74,2,76308
q75,2,74736
q76,2,52771
q77,2,4280
q78,2,201981
q79,2,13053
q8,2,8393
q80,2,33352
q81,2,19418
q82,2,15325
q83,2,3452
q84,2,8067
q85,2,10188
q86,2,5990
q87,2,53488
q88,2,91955
q89,2,19002
q9,2,37358
q90,2,12009
q91,2,4444
q92,2,1854
q93,2,116093
q94,2,41752
q95,2,64172
q96,2,12674
q97,2,74799
q98,2,5597
q99,2,22465
q1,3,8528
q10,3,8040
q11,3,84199
q12,3,2901
q13,3,16363
q14a,3,99682
q14b,3,90761
q15,3,8180
q16,3,79773
q17,3,13947
q18,3,22925
q19,3,4999
q2,3,28539
q20,3,3676
q21,3,2396
q22,3,13530
q23a,3,345676
q23b,3,345251
q24a,3,77842
q24b,3,72073
q25,3,11714
q26,3,10672
q27,3,12164
q28,3,172818
q29,3,33874
q3,3,4177
q30,3,14557
q31,3,21388
q32,3,2443
q33,3,6374
q34,3,470
q35,3,24164
q36,3,11906
q37,3,10303
q38,3,51233
q39a,3,9007
q39b,3,8889
q4,3,191311
q40,3,10547
q41,3,1284
q42,3,1752
q43,3,8467
q44,3,42579
q45,3,7192
q46,3,570
q47,3,21123
q48,3,13727
q49,3,14093
q5,3,29862
q50,3,97659
q51,3,32569
q52,3,2533
q53,3,7291
q54,3,9973
q55,3,2311
q56,3,4675
q57,3,15857
q58,3,6789
q59,3,34518
q6,3,7625
q60,3,6326
q61,3,4574
q62,3,11079
q63,3,6587
q64,3,66796
q65,3,63547
q66,3,14936
q67,3,302761
q68,3,667
q69,3,9396
q7,3,14123
q70,3,18481
q71,3,6126
q72,3,46324
q73,3,625
q74,3,76648
q75,3,74798
q76,3,53657
q77,3,4436
q78,3,200155
q79,3,12846
q8,3,7654
q80,3,33362
q81,3,19588
q82,3,15292
q83,3,3120
q84,3,10323
q85,3,12409
q86,3,5968
q87,3,53294
q88,3,89902
q89,3,19092
q9,3,38292
q90,3,12858
q91,3,4183
q92,3,2174
q93,3,117294
q94,3,43800
q95,3,63832
q96,3,12912
q97,3,73117
q98,3,5494
q99,3,23302
